id	longitud
gi|2765658|emb|Z78533.1|CIZ78533	740
gi|2765657|emb|Z78532.1|CCZ78532	753
gi|2765656|emb|Z78531.1|CFZ78531	748
gi|2765655|emb|Z78530.1|CMZ78530	744
gi|2765654|emb|Z78529.1|CLZ78529	733
gi|2765652|emb|Z78527.1|CYZ78527	718
gi|2765651|emb|Z78526.1|CGZ78526	730
gi|2765650|emb|Z78525.1|CAZ78525	704
gi|2765649|emb|Z78524.1|CFZ78524	740
gi|2765648|emb|Z78523.1|CHZ78523	709
gi|2765647|emb|Z78522.1|CMZ78522	700
gi|2765646|emb|Z78521.1|CCZ78521	726
gi|2765645|emb|Z78520.1|CSZ78520	753
gi|2765644|emb|Z78519.1|CPZ78519	699
gi|2765643|emb|Z78518.1|CRZ78518	658
gi|2765642|emb|Z78517.1|CFZ78517	752
gi|2765641|emb|Z78516.1|CPZ78516	726
gi|2765640|emb|Z78515.1|MXZ78515	765
gi|2765639|emb|Z78514.1|PSZ78514	755
gi|2765638|emb|Z78513.1|PBZ78513	742
gi|2765637|emb|Z78512.1|PWZ78512	762
gi|2765636|emb|Z78511.1|PEZ78511	745
gi|2765635|emb|Z78510.1|PCZ78510	750
gi|2765634|emb|Z78509.1|PPZ78509	731
gi|2765633|emb|Z78508.1|PLZ78508	741
gi|2765632|emb|Z78507.1|PLZ78507	740
gi|2765631|emb|Z78506.1|PLZ78506	727
gi|2765630|emb|Z78505.1|PSZ78505	711
gi|2765629|emb|Z78504.1|PKZ78504	743
gi|2765628|emb|Z78503.1|PCZ78503	727
gi|2765627|emb|Z78502.1|PBZ78502	757
gi|2765626|emb|Z78501.1|PCZ78501	770
gi|2765625|emb|Z78500.1|PWZ78500	767
gi|2765624|emb|Z78499.1|PMZ78499	759
gi|2765623|emb|Z78498.1|PMZ78498	750
gi|2765622|emb|Z78497.1|PDZ78497	788
gi|2765621|emb|Z78496.1|PAZ78496	774
gi|2765620|emb|Z78495.1|PEZ78495	789
gi|2765619|emb|Z78494.1|PNZ78494	688
gi|2765618|emb|Z78493.1|PGZ78493	719
gi|2765617|emb|Z78492.1|PBZ78492	743
gi|2765616|emb|Z78491.1|PCZ78491	737
gi|2765615|emb|Z78490.1|PFZ78490	728
gi|2765614|emb|Z78489.1|PDZ78489	740
gi|2765613|emb|Z78488.1|PTZ78488	696
gi|2765612|emb|Z78487.1|PHZ78487	732
gi|2765611|emb|Z78486.1|PBZ78486	731
gi|2765610|emb|Z78485.1|PHZ78485	735
gi|2765609|emb|Z78484.1|PCZ78484	720
gi|2765608|emb|Z78483.1|PVZ78483	740
gi|2765607|emb|Z78482.1|PEZ78482	629
gi|2765606|emb|Z78481.1|PIZ78481	572
gi|2765605|emb|Z78480.1|PGZ78480	587
gi|2765604|emb|Z78479.1|PPZ78479	700
gi|2765603|emb|Z78478.1|PVZ78478	636
gi|2765602|emb|Z78477.1|PVZ78477	716
gi|2765601|emb|Z78476.1|PGZ78476	592
gi|2765600|emb|Z78475.1|PSZ78475	716
gi|2765599|emb|Z78474.1|PKZ78474	733
gi|2765598|emb|Z78473.1|PSZ78473	626
gi|2765597|emb|Z78472.1|PLZ78472	737
gi|2765596|emb|Z78471.1|PDZ78471	740
gi|2765595|emb|Z78470.1|PPZ78470	574
gi|2765594|emb|Z78469.1|PHZ78469	594
gi|2765593|emb|Z78468.1|PAZ78468	610
gi|2765592|emb|Z78467.1|PSZ78467	730
gi|2765591|emb|Z78466.1|PPZ78466	641
gi|2765590|emb|Z78465.1|PRZ78465	702
gi|2765589|emb|Z78464.1|PGZ78464	733
gi|2765588|emb|Z78463.1|PGZ78463	738
gi|2765587|emb|Z78462.1|PSZ78462	736
gi|2765586|emb|Z78461.1|PWZ78461	732
gi|2765585|emb|Z78460.1|PCZ78460	745
gi|2765584|emb|Z78459.1|PDZ78459	744
gi|2765583|emb|Z78458.1|PHZ78458	738
gi|2765582|emb|Z78457.1|PCZ78457	739
gi|2765581|emb|Z78456.1|PTZ78456	740
gi|2765580|emb|Z78455.1|PJZ78455	745
gi|2765579|emb|Z78454.1|PFZ78454	695
gi|2765578|emb|Z78453.1|PSZ78453	745
gi|2765577|emb|Z78452.1|PBZ78452	743
gi|2765576|emb|Z78451.1|PHZ78451	730
gi|2765575|emb|Z78450.1|PPZ78450	706
gi|2765574|emb|Z78449.1|PMZ78449	744
gi|2765573|emb|Z78448.1|PAZ78448	742
gi|2765572|emb|Z78447.1|PVZ78447	694
gi|2765571|emb|Z78446.1|PAZ78446	712
gi|2765570|emb|Z78445.1|PUZ78445	715
gi|2765569|emb|Z78444.1|PAZ78444	688
gi|2765568|emb|Z78443.1|PLZ78443	784
gi|2765567|emb|Z78442.1|PBZ78442	721
gi|2765566|emb|Z78441.1|PSZ78441	703
gi|2765565|emb|Z78440.1|PPZ78440	744
gi|2765564|emb|Z78439.1|PBZ78439	592
